'#lines','H-V',dummy,subspace
500,'10-10',1931.3051,2884.8737
1000,'10-10',962.9361,1442.1926
1500,'10-10',646.5601,955.5784
2000,'10-10',482.8012,711.6290
2500,'10-10',388.1725,574.9577
3000,'10-10',321.5018,474.8209
3500,'10-10',274.7426,402.0623
4000,'10-10',239.3378,361.0221
4500,'10-10',212.8302,321.0610
5000,'10-10',192.1045,290.8861
5500,'10-10',174.1070,263.2924
6000,'10-10',158.6679,242.7687
6500,'10-10',146.6506,223.7104
7000,'10-10',136.1628,207.2916
7500,'10-10',126.7452,191.7464
8000,'10-10',118.4638,175.3561
8500,'10-10',111.0924,162.0752
9000,'10-10',105.1096,151.9955
9500,'10-10',99.5537,142.1122
10000,'10-10',94.4816,143.2098
