Benchmark started at:	May 31 13:32:49.656
Time: May 31 13:32:50.656	Lines: 250		FPS: 5378.398981425898
Time: May 31 13:32:51.842	Lines: 500		FPS: 2740.88778835543
Time: May 31 13:32:53.207	Lines: 750		FPS: 1825.4834866033666
Time: May 31 13:32:54.755	Lines: 1000		FPS: 1369.7070153274542
Time: May 31 13:32:56.485	Lines: 1250		FPS: 1094.6599316211011
Time: May 31 13:32:58.399	Lines: 1500		FPS: 901.8081621589006
Time: May 31 13:33:00.508	Lines: 1750		FPS: 782.7576867031836
Time: May 31 13:33:02.785	Lines: 2000		FPS: 683.0757855056274
Time: May 31 13:33:05.249	Lines: 2250		FPS: 609.1982528635167
Time: May 31 13:33:07.891	Lines: 2500		FPS: 543.424157973872
Time: May 31 13:33:10.731	Lines: 2750		FPS: 496.6481529048798
Time: May 31 13:33:13.744	Lines: 3000		FPS: 462.7585952701658
Time: May 31 13:33:16.905	Lines: 3250		FPS: 420.142299970245
Time: May 31 13:33:20.286	Lines: 3500		FPS: 390.16717996475654
Time: May 31 13:33:23.849	Lines: 3750		FPS: 365.3355509746838
Time: May 31 13:33:27.586	Lines: 4000		FPS: 343.2102059809411
Time: May 31 13:33:31.499	Lines: 4250		FPS: 328.9933047605594
Time: May 31 13:33:35.539	Lines: 4500		FPS: 307.29687410348976
Time: May 31 13:33:39.793	Lines: 4750		FPS: 292.1667049179111
Time: May 31 13:33:44.216	Lines: 5000		FPS: 276.94273880088923
Time: May 31 13:33:48.827	Lines: 5250		FPS: 264.05568580578944
Time: May 31 13:33:53.614	Lines: 5500		FPS: 253.31884070576046
Time: May 31 13:33:58.562	Lines: 5750		FPS: 238.2896774793256
Time: May 31 13:34:03.758	Lines: 6000		FPS: 230.35405159503264
Time: May 31 13:34:09.101	Lines: 6250		FPS: 220.5187323135689
Time: May 31 13:34:14.638	Lines: 6500		FPS: 213.1350674775392
Time: May 31 13:34:20.332	Lines: 6750		FPS: 204.68350357634048
Time: May 31 13:34:26.219	Lines: 7000		FPS: 192.79288347978624
Time: May 31 13:34:32.407	Lines: 7250		FPS: 183.29687883154332
Time: May 31 13:34:38.864	Lines: 7500		FPS: 175.02750404952198
Time: May 31 13:34:45.578	Lines: 7750		FPS: 176.693107323625
Time: May 31 13:34:52.237	Lines: 8000		FPS: 173.72282076610486
Time: May 31 13:34:58.994	Lines: 8250		FPS: 168.97314328542507
Time: May 31 13:35:05.912	Lines: 8500		FPS: 162.86537473255405
Time: May 31 13:35:13.052	Lines: 8750		FPS: 159.30055593949007
Time: May 31 13:35:20.330	Lines: 9000		FPS: 152.64693759371124
Time: May 31 13:35:27.881	Lines: 9250		FPS: 148.18007922096433
Time: May 31 13:35:35.630	Lines: 9500		FPS: 144.72179128080768
Time: May 31 13:35:43.539	Lines: 9750		FPS: 144.2250913732118
Time: May 31 13:35:51.473	Lines: 10000		FPS: 137.37655940131984
Benchmark finished at:	May 31 13:35:58.756
