Benchmark started at:	May 31 15:26:48.881
Time: May 31 15:26:49.881  |Lines:   500  |FPS: 3835.838111966123
Time: May 31 15:26:51.142  |Lines:  1000  |FPS: 955.2969727352523
Time: May 31 15:26:53.188  |Lines:  1500  |FPS: 646.8407484765584
Time: May 31 15:26:55.734  |Lines:  2000  |FPS: 482.6440949377983
Time: May 31 15:26:58.806  |Lines:  2500  |FPS: 386.1299028243014
Time: May 31 15:27:02.396  |Lines:  3000  |FPS: 317.03769282973934
Time: May 31 15:27:06.550  |Lines:  3500  |FPS: 271.97203605283073
Time: May 31 15:27:11.227  |Lines:  4000  |FPS: 237.65463669716914
Time: May 31 15:27:16.435  |Lines:  4500  |FPS: 212.46865796478528
Time: May 31 15:27:22.142  |Lines:  5000  |FPS: 188.702178828479
Time: May 31 15:27:28.441  |Lines:  5500  |FPS: 170.56805963212054
Time: May 31 15:27:35.304  |Lines:  6000  |FPS: 154.44115815264487
Time: May 31 15:27:42.779  |Lines:  6500  |FPS: 143.74609873357562
Time: May 31 15:27:50.736  |Lines:  7000  |FPS: 133.1296362565566
Time: May 31 15:27:59.248  |Lines:  7500  |FPS: 123.78655083179427
Time: May 31 15:28:08.326  |Lines:  8000  |FPS: 117.3333137114487
Time: May 31 15:28:17.849  |Lines:  8500  |FPS: 109.8108620577979
Time: May 31 15:28:27.956  |Lines:  9000  |FPS: 103.12650105488564
Time: May 31 15:28:38.652  |Lines:  9500  |FPS: 98.31135854809439
Time: May 31 15:28:49.824  |Lines: 10000  |FPS: 93.36340670491643
Benchmark finished at:	May 31 15:29:00.538
