'#lines','H-V',dummy,subspace
500,'10-10',1941.5054,2814.6625
1000,'10-10',976.5893,1446.1342
1500,'10-10',653.7045,962.9557
2000,'10-10',486.6798,723.9910
2500,'10-10',389.4069,582.4854
3000,'10-10',322.4494,483.9005
3500,'10-10',274.3660,415.4466
4000,'10-10',240.9054,363.3939
4500,'10-10',212.8215,323.8117
5000,'10-10',191.7840,291.4546
5500,'10-10',174.1807,262.8079
6000,'10-10',158.8806,234.6101
6500,'10-10',146.8125,223.3463
7000,'10-10',135.6149,207.0707
7500,'10-10',126.1652,194.3446
8000,'10-10',118.5184,182.1869
8500,'10-10',111.4296,172.9690
9000,'10-10',105.0645,162.7413
9500,'10-10',94.8559,154.3242
10000,'10-10',93.6481,145.7575
