'#lines','H-V',dummy,subspace
500,'10-10',1946.7078,0.0000
500,'10-10',1946.7078,2901.2450
500,'20-20',1946.7078,2905.8443
500,'30-30',1946.7078,2892.1522
500,'40-40',1946.7078,2865.4416
500,'50-50',1946.7078,2843.3374
1000,'10-10',977.8857,0.0000
1000,'10-10',977.8857,1434.4527
1000,'10-10',977.8857,1421.7701
1000,'10-10',977.8857,1427.3136
1000,'10-10',977.8857,1432.1604
1000,'10-10',977.8857,1438.0427
1500,'10-10',647.0851,0.0000
1500,'10-10',647.0851,953.4809
1500,'10-10',647.0851,972.8516
1500,'10-10',647.0851,944.1557
1500,'10-10',647.0851,964.0831
1500,'10-10',647.0851,981.8974
2000,'10-10',485.6674,0.0000
2000,'10-10',485.6674,708.7191
2000,'10-10',485.6674,730.7259
2000,'10-10',485.6674,709.8469
2000,'10-10',485.6674,726.1907
2000,'10-10',485.6674,718.7871
2500,'10-10',385.6242,0.0000
2500,'10-10',385.6242,578.4575
2500,'10-10',385.6242,584.2945
2500,'10-10',385.6242,581.6719
2500,'10-10',385.6242,578.5952
2500,'10-10',385.6242,567.2634
3000,'10-10',323.1399,0.0000
3000,'10-10',323.1399,472.3950
3000,'10-10',323.1399,483.2187
3000,'10-10',323.1399,488.0256
3000,'10-10',323.1399,479.7553
3000,'10-10',323.1399,481.7714
3500,'10-10',275.7187,0.0000
3500,'10-10',275.7187,406.6827
3500,'10-10',275.7187,411.6265
3500,'10-10',275.7187,415.4982
3500,'10-10',275.7187,411.4172
3500,'10-10',275.7187,418.3458
4000,'10-10',228.5835,0.0000
4000,'10-10',228.5835,358.9282
4000,'10-10',228.5835,360.6863
4000,'10-10',228.5835,367.9788
4000,'10-10',228.5835,354.2621
4000,'10-10',228.5835,363.0881
4500,'10-10',201.1781,0.0000
4500,'10-10',201.1781,324.3998
4500,'10-10',201.1781,321.1380
4500,'10-10',201.1781,321.6188
4500,'10-10',201.1781,322.7198
4500,'10-10',201.1781,312.8131
5000,'10-10',181.2675,0.0000
5000,'10-10',181.2675,288.5452
5000,'10-10',181.2675,287.4590
5000,'10-10',181.2675,290.1219
5000,'10-10',181.2675,288.6367
5000,'10-10',181.2675,287.6492
5500,'10-10',174.1037,0.0000
5500,'10-10',174.1037,264.3003
5500,'10-10',174.1037,262.8550
5500,'10-10',174.1037,262.3635
5500,'10-10',174.1037,262.8507
5500,'10-10',174.1037,264.6862
6000,'10-10',160.0404,0.0000
6000,'10-10',160.0404,240.5226
6000,'10-10',160.0404,239.8646
6000,'10-10',160.0404,240.3455
6000,'10-10',160.0404,244.4570
6000,'10-10',160.0404,243.3236
6500,'10-10',147.4323,0.0000
6500,'10-10',147.4323,220.9340
6500,'10-10',147.4323,224.6382
6500,'10-10',147.4323,220.9944
6500,'10-10',147.4323,223.1156
6500,'10-10',147.4323,221.3043
7000,'10-10',136.1340,0.0000
7000,'10-10',136.1340,206.4577
7000,'10-10',136.1340,203.7185
7000,'10-10',136.1340,206.4257
7000,'10-10',136.1340,208.5328
7000,'10-10',136.1340,203.4812
7500,'10-10',126.8995,0.0000
7500,'10-10',126.8995,192.0709
7500,'10-10',126.8995,191.6456
7500,'10-10',126.8995,195.3005
7500,'10-10',126.8995,190.8662
7500,'10-10',126.8995,194.4730
8000,'10-10',119.0265,0.0000
8000,'10-10',119.0265,181.3129
8000,'10-10',119.0265,174.7404
8000,'10-10',119.0265,181.2547
8000,'10-10',119.0265,180.3268
8000,'10-10',119.0265,183.0321
8500,'10-10',111.6318,0.0000
8500,'10-10',111.6318,171.6760
8500,'10-10',111.6318,157.1629
8500,'10-10',111.6318,170.7009
8500,'10-10',111.6318,173.2805
8500,'10-10',111.6318,169.9583
9000,'10-10',104.2226,0.0000
9000,'10-10',104.2226,162.3575
9000,'10-10',104.2226,153.6097
9000,'10-10',104.2226,160.1609
9000,'10-10',104.2226,159.8605
9000,'10-10',104.2226,159.6480
9500,'10-10',98.8314,0.0000
9500,'10-10',98.8314,150.7187
9500,'10-10',98.8314,150.9080
9500,'10-10',98.8314,151.6206
9500,'10-10',98.8314,152.4766
9500,'10-10',98.8314,152.5435
10000,'10-10',93.7239,0.0000
10000,'10-10',93.7239,142.7921
10000,'10-10',93.7239,144.2265
10000,'10-10',93.7239,145.2385
10000,'10-10',93.7239,144.2520
10000,'10-10',93.7239,143.1395
