'#lines','H-V',dummy,subspace
500,'30-30',1874.3008,2693.6255
1000,'30-30',930.4110,1434.7461
1500,'30-30',618.3471,971.4823
2000,'30-30',481.4478,707.2982
2500,'30-30',390.1665,576.4831
3000,'30-30',324.2292,465.7762
3500,'30-30',272.4771,409.3128
4000,'30-30',241.3282,339.5049
4500,'30-30',214.0260,314.8354
5000,'30-30',193.0273,276.1301
5500,'30-30',174.3712,251.7034
6000,'30-30',159.9596,233.3464
6500,'30-30',145.6619,216.6265
7000,'30-30',135.3182,204.3587
7500,'30-30',126.8371,187.8887
8000,'30-30',118.7699,179.4068
8500,'30-30',111.9151,164.9983
9000,'30-30',104.8469,152.1108
9500,'30-30',99.4158,147.2487
10000,'30-30',94.5838,137.2250
