Benchmark started at:	May 31 14:13:02.703
Time: May 31 14:13:03.703  |Lines:   500  |FPS: 4682.268801026458
Time: May 31 14:13:04.916  |Lines:  1000  |FPS: 1388.2815986007627
Time: May 31 14:13:06.637  |Lines:  1500  |FPS: 908.0137200328289
Time: May 31 14:13:08.738  |Lines:  2000  |FPS: 669.2974343803378
Time: May 31 14:13:11.232  |Lines:  2500  |FPS: 522.691980826073
Time: May 31 14:13:14.146  |Lines:  3000  |FPS: 379.1045794507469
Time: May 31 14:13:17.783  |Lines:  3500  |FPS: 383.7917881038253
Time: May 31 14:13:21.389  |Lines:  4000  |FPS: 335.74947418014625
Time: May 31 14:13:25.367  |Lines:  4500  |FPS: 301.6988548777697
Time: May 31 14:13:29.682  |Lines:  5000  |FPS: 258.8760718373498
Time: May 31 14:13:34.545  |Lines:  5500  |FPS: 249.65546771523347
Time: May 31 14:13:39.550  |Lines:  6000  |FPS: 227.14949397438156
Time: May 31 14:13:44.953  |Lines:  6500  |FPS: 211.24776153976478
Time: May 31 14:13:50.687  |Lines:  7000  |FPS: 176.50991375114532
Time: May 31 14:13:57.352  |Lines:  7500  |FPS: 173.96628194082555
Time: May 31 14:14:04.100  |Lines:  8000  |FPS: 156.70004107338414
Time: May 31 14:14:11.482  |Lines:  8500  |FPS: 155.5215469884047
Time: May 31 14:14:18.912  |Lines:  9000  |FPS: 152.26005652717927
Time: May 31 14:14:26.480  |Lines:  9500  |FPS: 138.1478770498753
Time: May 31 14:14:34.718  |Lines: 10000  |FPS: 131.9531604372686
Benchmark finished at:	May 31 14:14:42.301
